epoch,train_loss,val_loss,macro_auroc,macro_f1,micro_f1,f1_any_pattern
1,0.677846,0.632304,0.523905,0.000000,0.000000,0.000000
2,0.624068,0.588182,0.575794,0.000000,0.000000,0.000000
3,0.608578,0.564561,0.625665,0.000000,0.000000,0.000000
4,0.593930,0.553375,0.649641,0.000000,0.000000,0.000000
5,0.579797,0.544746,0.661139,0.000000,0.000000,0.000000
6,0.577820,0.540053,0.669553,0.000000,0.000000,0.000000
7,0.559467,0.536085,0.676518,0.001835,0.001835,0.001835
8,0.551229,0.532558,0.682829,0.010949,0.010949,0.010949
9,0.544979,0.529473,0.688915,0.016334,0.016334,0.016334
10,0.537461,0.526798,0.694534,0.025248,0.025248,0.025248
11,0.529291,0.524403,0.699818,0.035810,0.035810,0.035810
12,0.523544,0.521637,0.704676,0.049252,0.049252,0.049252
13,0.517918,0.519876,0.708820,0.049296,0.049296,0.049296
14,0.506763,0.517506,0.713060,0.061135,0.061135,0.061135
15,0.502470,0.515161,0.717385,0.075666,0.075666,0.075666
16,0.495487,0.513321,0.721003,0.083976,0.083976,0.083976
17,0.491354,0.511225,0.724829,0.090290,0.090290,0.090290
18,0.485334,0.508929,0.728563,0.113333,0.113333,0.113333
19,0.478410,0.506988,0.732176,0.116570,0.116570,0.116570
20,0.475066,0.504860,0.735827,0.128289,0.128289,0.128289
21,0.470267,0.502834,0.739403,0.141925,0.141925,0.141925
22,0.468021,0.500877,0.742451,0.148088,0.148088,0.148088
23,0.458895,0.498537,0.746301,0.190923,0.190923,0.190923
24,0.455353,0.496873,0.749651,0.168269,0.168269,0.168269
25,0.449801,0.494458,0.751813,0.213846,0.213846,0.213846
26,0.442957,0.492620,0.755410,0.207591,0.207591,0.207591
27,0.440084,0.490371,0.758892,0.222393,0.222393,0.222393
28,0.433918,0.488214,0.761552,0.242836,0.242836,0.242836
29,0.429503,0.486006,0.764104,0.268041,0.268041,0.268041
30,0.425277,0.484159,0.766736,0.267356,0.267356,0.267356
31,0.418676,0.482093,0.769309,0.292297,0.292297,0.292297
32,0.416939,0.480313,0.771987,0.296987,0.296987,0.296987
33,0.411204,0.478674,0.774046,0.293737,0.293737,0.293737
34,0.406505,0.476522,0.776085,0.326616,0.326616,0.326616
35,0.403214,0.474987,0.778729,0.321678,0.321678,0.321678
36,0.398399,0.473342,0.779752,0.339053,0.339053,0.339053
37,0.392764,0.471986,0.782297,0.335857,0.335857,0.335857
38,0.388213,0.470208,0.783951,0.357143,0.357143,0.357143
39,0.386013,0.468847,0.785533,0.350949,0.350949,0.350949
40,0.380727,0.467841,0.787456,0.343365,0.343365,0.343365
41,0.375133,0.466078,0.788820,0.367755,0.367755,0.367755
42,0.371922,0.465408,0.790275,0.348063,0.348063,0.348063
43,0.366793,0.463701,0.791671,0.369087,0.369087,0.369087
44,0.361470,0.462750,0.793406,0.367647,0.367647,0.367647
45,0.358820,0.461506,0.794087,0.382334,0.382334,0.382334
46,0.355259,0.460174,0.795461,0.395590,0.395590,0.395590
47,0.348580,0.459221,0.796246,0.403871,0.403871,0.403871
48,0.346342,0.458629,0.798113,0.392927,0.392927,0.392927
49,0.339889,0.457031,0.798175,0.416667,0.416667,0.416667
50,0.337749,0.456311,0.799838,0.413793,0.413793,0.413793
51,0.332170,0.455679,0.800681,0.415816,0.415816,0.415816
52,0.329644,0.455087,0.801225,0.411502,0.411502,0.411502
53,0.323597,0.454415,0.802577,0.412516,0.412516,0.412516
54,0.319962,0.453577,0.802764,0.426783,0.426783,0.426783
55,0.314119,0.453031,0.803708,0.421252,0.421252,0.421252
56,0.309537,0.452415,0.804961,0.414758,0.414758,0.414758
57,0.307405,0.451470,0.805365,0.431520,0.431520,0.431520
58,0.302371,0.450626,0.805836,0.435374,0.435374,0.435374
59,0.298324,0.450828,0.806845,0.419457,0.419457,0.419457
60,0.293963,0.449034,0.807305,0.453059,0.453059,0.453059
61,0.290484,0.449622,0.808006,0.431078,0.431078,0.431078
62,0.286964,0.448199,0.808814,0.448381,0.448381,0.448381
63,0.282096,0.449367,0.809401,0.415766,0.415766,0.415766
64,0.279656,0.447706,0.809570,0.447561,0.447561,0.447561
65,0.273275,0.447703,0.810184,0.442391,0.442391,0.442391
66,0.271167,0.446765,0.810766,0.450909,0.450909,0.450909
67,0.266313,0.447026,0.811048,0.445805,0.445805,0.445805
68,0.262947,0.446848,0.811257,0.449603,0.449603,0.449603
69,0.258093,0.445970,0.811692,0.453670,0.453670,0.453670
70,0.253525,0.445951,0.811616,0.456522,0.456522,0.456522
71,0.250515,0.446281,0.812560,0.445813,0.445813,0.445813
72,0.248114,0.444716,0.812607,0.467456,0.467456,0.467456
73,0.242347,0.445508,0.813164,0.451338,0.451338,0.451338
74,0.240435,0.443885,0.813413,0.473220,0.473220,0.473220
75,0.236288,0.446265,0.813818,0.441140,0.441140,0.441140
76,0.231584,0.444553,0.813847,0.458484,0.458484,0.458484
77,0.227514,0.445014,0.814284,0.448087,0.448087,0.448087
78,0.223957,0.444580,0.814522,0.453559,0.453559,0.453559
79,0.220127,0.443637,0.814808,0.461905,0.461905,0.461905
80,0.214794,0.445465,0.815303,0.443627,0.443627,0.443627
81,0.212728,0.443403,0.814982,0.469267,0.469267,0.469267
82,0.209778,0.445640,0.815516,0.446483,0.446483,0.446483
83,0.205412,0.444082,0.815575,0.458683,0.458683,0.458683
84,0.202488,0.442676,0.815937,0.478413,0.478413,0.478413
85,0.197638,0.447442,0.816021,0.437539,0.437539,0.437539
86,0.194494,0.443349,0.816094,0.472727,0.472727,0.472727
87,0.189745,0.446293,0.816372,0.447853,0.447853,0.447853
88,0.187341,0.444365,0.816627,0.453621,0.453621,0.453621
89,0.183659,0.442821,0.816502,0.485370,0.485370,0.485370
90,0.181226,0.450200,0.816802,0.424242,0.424242,0.424242
91,0.177278,0.442998,0.816621,0.485370,0.485370,0.485370
92,0.173304,0.449145,0.817233,0.436681,0.436681,0.436681
93,0.171128,0.444630,0.817178,0.472189,0.472189,0.472189
94,0.168049,0.445007,0.817610,0.463095,0.463095,0.463095
95,0.164004,0.445852,0.817424,0.460432,0.460432,0.460432
96,0.161252,0.445263,0.817570,0.473498,0.473498,0.473498
97,0.157094,0.447549,0.817578,0.457831,0.457831,0.457831
98,0.154191,0.445525,0.817846,0.471631,0.471631,0.471631
99,0.151919,0.446441,0.818056,0.466112,0.466112,0.466112
100,0.148336,0.446896,0.817861,0.472534,0.472534,0.472534
